COSTOS BARATERO ,,,,
CONS.,C.B.A,DESCRIPCIÓN,UNIDAD DE MEDIDA, PRECIO UNITARIO 
ABARROTES ,480 702 0102 00,Aceite de cártamo (1000 ml),BOTELLA DE 1000 ml,
ABARROTES ,480 702 0105 00,Aceite de oliva (1000 ml),BOTELLA DE 1000 ml,
ABARROTES ,480 702 0106 00,Aceite puro de canola (1000 ml),BOTELLA DE 1000 ml,
ABARROTES ,480 704 0100 00,Aceituna verde c/semilla envase de vidrio o plástico de (500 g),ENVASE DE 500 g,
ABARROTES ,480 809 0100 01,Achiote en pasta caja de cartón de (110 g) ,CAJA DE 110 g,
ABARROTES ,480 802 0100 00,Ajo en bulbo grande (1000 g),KILO,
ABARROTES ,480 802 0200 00,"Ajonjolí envasada en frasco de vidrio, plástico o bolsa de polietileno ",KILO,
ABARROTES ,480 704 0200 00,Almendra tostada s/sal empaquetada bolsa de material impermeable (1000g),KILO,
ABARROTES ,480 501 0301 00,Alubia  (1000 g),KILO,
ABARROTES ,480 401 0100 00,Amaranto en semilla empaquetada en bolsas de polietileno (1000 g),KILO,
ABARROTES ,480 802 0300 00,Anís (60 g),PIEZA DE 60 g,
ABARROTES ,480 402 0100 00,Arroz integral  (1000 g),KILO,
ABARROTES ,480 402 0200 00,Arroz pulido (1000g),KILO,
ABARROTES ,480 610 0100 01,Ate de frutas lata (1000 g),LATA DE 1000 g,
ABARROTES ,480 106 0101 03 ,Atún en aceite (lata 1880 g),LATA DE 1880 g,
ABARROTES ,480 106 0101 00 ,Atún en aceite (lata 140 g),LATA DE 140 g,
ABARROTES ,480 106 0102 03 ,Atún en agua (lata 1880 g),LATA DE 1880 g,
ABARROTES ,480 106 0102 00 ,Atún en agua lata (140 g),LATA DE 140 g,
ABARROTES ,480 403 0100 00,Avena integral (1000 g),KILO,
ABARROTES ,480 403 0200 00,Avena laminada (hojuelas 1000 g),KILO,
ABARROTES ,480 601 0100 01,Azúcar moreno (1000 g),KILO,
ABARROTES ,480 601 0201 00,Azúcar refinado (1000 sobres de 5 g),CAJA C/1000 SOBRES,
ABARROTES ,480 406 0200 00,Barras de cereales mixtos rellenas de frutas (37 g),PAQUETE,
ABARROTES ,480 704 0300 00,Cacahuate tostado sin sal y sin cáscara (1000g),KILO,
ABARROTES ,480 806 0101 00,Café puro en grano tostado y molido (1000 g),KILO,
ABARROTES ,480 806 0102 00,Café puro soluble frasco de vidrio (200 g),FRASCO DE 200 g,
ABARROTES ,480 806 0103 00,Café soluble descafeinado frasco de vidrio (200 g),FRASCO DE 200 g,
ABARROTES ,480 802 0400 00,Canela en raja plástico-sellada o envasada en frasco de vidrio (1000 g),KILO,
ABARROTES ,480 802 0401 01,Canela molida plástico sellada o envasada en frasco de vidrio (60 g),ENVASE DE 60 g,
ABARROTES ,480 401 0300 00,Cereal de amaranto precocido (270 g),PIEZA DE 270 g,
ABARROTES ,480 402 0300 00 ,Cereal de arroz precocido (270 g),PIEZA DE 270 g,
ABARROTES ,480 403 0400 00,Cereal de avena precocido (270 g),PIEZA DE 270 g,
ABARROTES ,480 403 0600 00,Cereal de trigo precocido (270 g),PIEZA DE 270 g,
ABARROTES ,480 406 0300 00,Cereal precocido mixto de cuatro cereales (Lata 270 g),PIEZA DE 270 g,
ABARROTES ,480 302 1501 00,Chile seco ancho,KILO,
ABARROTES ,480 302 1502 00,Chile seco árbol,KILO,
ABARROTES ,480 302 1503 00,Chile seco cascabel,KILO,
ABARROTES ,480 302 1504 00,Chile seco chipotle,KILO,
ABARROTES ,480 302 1505 00,Chile seco guajillo,KILO,
ABARROTES ,480 302 1506 00,Chile seco morita,KILO,
ABARROTES ,480 302 1507 00,Chile seco mulato,KILO,
ABARROTES ,480 302 1508 00,Chile seco pasilla,KILO,
ABARROTES ,480 302 1600 01,Chile serrano envasado lata (800 g),LATA DE 800 g,
ABARROTES ,480 302 1600 01,Chile chipotle adobado lata (215 g),LATA DE 215 g,
ABARROTES ,480 302 1603 02,Chiles jalapeños rajas lata (800 g),LATA DE 800 g,
ABARROTES ,480 302 1602 01,Chiles jalapeños enteros lata (800 g),LATA DE 800 g,
ABARROTES ,480 604 0100 00,Chocolate de Mesa con Azúcar (1000 g),EMPAQUE DE 1000 g,
ABARROTES ,480 604 0200 00,Chocolate en polvo (1000 g) (chocomilk),EMPAQUE DE 1000 g,
ABARROTES ,480 505 0300 00,Chorizo vegetariano (1000 g),KILO,
ABARROTES ,480 802 0501 00,Clavo molido (60 g),EMPAQUE DE 60 g,
ABARROTES ,480 801 0100 01,Color vegetal envase de plástico (30 ml),ENVASE DE 30 ml,
ABARROTES ,480 802 0600 01,Comino entero (60 g),EMPAQUE DE 60 g,
ABARROTES ,480 802 0601 00,Comino molido (60 g),EMPAQUE DE 60 g,
ABARROTES ,480 809 0200 00,Consome de pollo deshidratado en polvo (1000 g),KILO,
ABARROTES ,480 704 0301 00,Crema de cacahuate (450 g),ENVASE DE 450 g,
ABARROTES ,480 401 0400 00,Dulce amaranto (alegría 30 g) ,PIEZA DE 30 g,
ABARROTES ,480 805 0700 00,Eneldo (1000 g),KILO,
ABARROTES ,480 805 0200 00,Epazote (1000 g),KILO,
ABARROTES ,480 803 0100 01,Extracto de vainilla (1000 ml),ENVASE DE 500 ml,
ABARROTES ,480 806 0200 00,Flor de Jamaica (1000 g),KILO,
ABARROTES ,480 501 0200 00,Frijol bayo (1000 g),KILO,
ABARROTES ,480 501 0600 00,Frijol negro  (1000 g),KILO,
ABARROTES ,480 501 0103 00,Frijol peruano (1000 g),KILO,
ABARROTES ,480 406 0600 00,Galleta integral caja con bolsa de polietileno (1000 g),CAJA DE 1000 g,
ABARROTES ,480 406 0700 00,Galleta maría caja (1000 g),CAJA DE 1000 g,
ABARROTES ,480 406 0901 00,Galleta Salada en Envase Individual (42 paquetes de 12 g),CAJA C/42 PAQUETES DE 12 g,
ABARROTES ,480 502 0100 01,Garbanzo  (1000 g),KILO,
ABARROTES ,480 804 0100 00,Grenetina en polvo (1000 g),KILO,
ABARROTES ,480 503 0100 01,Haba seca  (1000 g),KILO,
ABARROTES ,480 402 0400 00,Harina de arroz caja (1000 g),KILO,
ABARROTES ,480 405 0200 00,"Harina de maíz nixtamalizada bolsa de papel laminado (1000 g) (Para tortillas, tamales)",KILO,
ABARROTES ,480 406 1100 00,"Harina de trigo bolsa de papel (1000 g) (Harina de hotcakes, hornear)",KILO,
ABARROTES ,480 405 0301 01,Harina maíz s/nixtamalizado con sabor (1000 g) (Fécula con sabor),KILO,
ABARROTES ,480 405 0301 02,Harina maíz s/nixtamalizado de sabores sobres (50 g) (Fécula de sabor),CAJA C/50 SOBRES DE 50 g,
ABARROTES ,480 405 0300 01,Harina de maiz s/nixtamalizar sin sabor (1000g) (Fécula sin sabor),KILO,
ABARROTES ,480 805 0300 00,"Hierbas de olor (laurel, mejorana, tomillo) (Mix)",KILO,
ABARROTES ,480 405 0400 00,Hojuelas de maíz sin azúcar caja (660g),CAJA DE 660 g,
ABARROTES ,480 606 0300 00,Jamoncillo (30 g),PIEZA DE 30 g,
ABARROTES ,480 602 0904 00,Jugo de Manzana Ultrapasteurizado (1000 ml),ENVASE DE 1000 ml,
ABARROTES ,480 602 0903 01,Jugo de Manzana Ultrapasteurizado (250 ml),ENVASE DE 250 ml,
ABARROTES ,480 602 0907 00,Jugo de Uva Ultrapasteurizado (1000 ml),ENVASE DE 1000 ml,
ABARROTES ,480 602 0907 01,Jugo de Uva Ultrapasteurizado (250 ml),ENVASE DE 250 ml,
ABARROTES ,480 805 0301 00,Laurel (1000 g),KILO,
ABARROTES ,480 504 0100 01,Lenteja  (1000 g),KILO,
ABARROTES ,480 405 0101 00,Maíz cacahuazintle precocido (1000 g) (maíz pozolero),KILO,
ABARROTES ,480 702 0200 00,Manteca vegetal papel parafinado (1000 g) ,KILO,
ABARROTES ,480 703 0100 02,Mayonesa (3350 g),ENVASE DE 3350 g,
ABARROTES ,480 703 0100 05,Mayonesa (1000 g),ENVASE DE 1000 g,
ABARROTES ,480 703 0100 03,Mayonesa (500 g),ENVASE DE 500 g,
ABARROTES ,480 703 0100 00,Mayonesa (390 g),ENVASE DE 390 g,
ABARROTES ,480 805 0302 00,Mejorana (1000 g),KILO,
